id,name_en,name_ru
284,"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",
285,"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",
286,"Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST",
287,"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS",
288,"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",
289,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",
290,"Lemon juice from concentrate, bottled, CONCORD",
291,"Lemon juice from concentrate, bottled, REAL LEMON",
292,"Cranberry sauce, whole, canned, OCEAN SPRAY",
293,"Cranberry sauce, jellied, canned, OCEAN SPRAY",
294,"Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C",
295,Baobab powder,
296,"Cherry juice, tart",
297,"Raspberries, puree, seedless",
298,"Raspberries, puree, with seeds",
299,"Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw",
300,"Pork, fresh, backfat, raw",
301,"Pork, fresh, belly, raw",
302,"Pork, fresh, separable fat, raw",
303,"Pork, fresh, leg (ham), rump half, separable lean and fat, raw",
304,"Pork, fresh, leg (ham), rump half, separable lean and fat, cooked, roasted",
305,"Pork, fresh, leg (ham), rump half, separable lean only, raw (Includes foods for USDA's Food Distribution Program)",
306,"Pork, fresh, leg (ham), rump half, separable lean only, cooked, roasted",
307,"Pork, fresh, loin, whole, separable lean and fat, raw",
308,"Pork, fresh, loin, whole, separable lean and fat, cooked, braised",
309,"Pork, fresh, loin, whole, separable lean and fat, cooked, broiled",
310,"Pork, fresh, loin, whole, separable lean and fat, cooked, roasted",
311,"Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw",
312,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, braised",
313,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, broiled",
314,"Pork, fresh, loin, blade (roasts), bone-in, separable lean and fat, cooked, roasted",
315,"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, braised",
316,"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, broiled",
317,"Pork, fresh, loin, center loin (roasts), bone-in, separable lean and fat, cooked, roasted",
318,"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, raw",
319,"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, braised",
320,"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, broiled",
321,"Pork, fresh, loin, center rib (roasts), bone-in, separable lean and fat, cooked, roasted",
322,"Pork, fresh, loin, center rib (chops or roasts), bone-in, separable lean only, raw",
323,"Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat, cooked, braised",
324,"Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat, cooked, broiled",
325,"Pork, fresh, loin, sirloin (roasts), bone-in, separable lean and fat, cooked, roasted",
326,"Pork, fresh, loin, sirloin (chops or roasts), bone-in, separable lean only, raw",
327,"Pork, fresh, loin, sirloin (chops), bone-in, separable lean only, cooked, braised",
328,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw",
329,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, braised",
330,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, broiled",
331,"Pork, fresh, loin, top loin (roasts), boneless, separable lean and fat, cooked, roasted",
332,"Pork, fresh, shoulder, whole, separable lean and fat, raw",
333,"Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted",
334,"Pork, fresh, shoulder, whole, separable lean only, raw",
335,"Pork, fresh, shoulder, whole, separable lean only, cooked, roasted",
336,"Pork, fresh, shoulder, arm picnic, separable lean only, cooked, braised",
337,"Pork, fresh, shoulder, arm picnic, separable lean only, cooked, roasted",
338,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, raw",
339,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, cooked, braised",
340,"Pork, fresh, shoulder, blade, boston (steaks), separable lean and fat, cooked, broiled",
341,"Pork, fresh, shoulder, blade, boston (roasts), separable lean only, cooked, roasted",
342,"Pork, fresh, spareribs, separable lean and fat, raw",
343,"Pork, fresh, spareribs, separable lean and fat, cooked, braised",
344,"Pork, fresh, composite of trimmed retail cuts (leg, loin, and shoulder), separable lean only, cooked",
345,"Pork, fresh, variety meats and by-products, chitterlings, cooked, simmered",
346,"Pork, fresh, variety meats and by-products, ears, frozen, raw",
347,"Pork, fresh, variety meats and by-products, ears, frozen, cooked, simmered",
348,"Pork, fresh, variety meats and by-products, feet, raw",
349,"Pork, fresh, variety meats and by-products, kidneys, cooked, braised",
350,"Pork, fresh, variety meats and by-products, leaf fat, raw",
351,"Pork, fresh, variety meats and by-products, liver, raw",
352,"Pork, fresh, variety meats and by-products, liver, cooked, braised",
353,"Pork, fresh, variety meats and by-products, lungs, raw",
354,"Pork, fresh, variety meats and by-products, spleen, raw",
355,"Pork, fresh, variety meats and by-products, spleen, cooked, braised",
356,"Pork, fresh, variety meats and by-products, stomach, raw",
357,"Pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, pan-fried",
358,"Canadian bacon, unprepared",
359,"Pork, cured, feet, pickled",
360,"Pork, cured, ham, boneless, extra lean (approximately 5% fat), roasted",
361,"Pork, cured, ham, boneless, regular (approximately 11% fat), roasted",
362,"Pork, cured, ham, patties, unheated",
363,"Pork, cured, ham, steak, boneless, extra lean, unheated",
364,"Pork, cured, ham, whole, separable lean and fat, unheated",
365,"Pork, cured, ham, whole, separable lean only, unheated",
366,"Pork, cured, separable fat (from ham and arm picnic), unheated",
367,"Pork, cured, separable fat (from ham and arm picnic), roasted",
368,"Pork, cured, shoulder, arm picnic, separable lean and fat, roasted",
369,"Pork, cured, shoulder, arm picnic, separable lean only, roasted",
370,"Pork, fresh, variety meats and by-products, tail, cooked, simmered",
371,"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, cooked, pan-fried",
372,"Pork, fresh, loin, center rib (chops), bone-in, separable lean only, cooked, pan-fried",
373,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, pan-fried",
374,"Pork, cured, ham, extra lean and regular, canned, unheated",
375,"Pork, cured, ham, extra lean and regular, canned, roasted",
